,session_id,item_id,date
0,3,9655,2020-12-18 21:25:00.373
1,3,9655,2020-12-18 21:19:48.093
2,13,15654,2020-03-13 19:35:27.136
3,18,18316,2020-08-26 19:18:30.833
4,18,2507,2020-08-26 19:16:31.211
5,18,4026,2020-08-26 19:15:47.232
6,19,25772,2020-11-02 16:31:18.543
7,19,6341,2020-11-02 16:34:33.794
8,19,25555,2020-11-02 16:43:04.022
9,19,20033,2020-11-02 16:42:02.287
10,19,8281,2020-11-02 16:38:04.484
11,19,8268,2020-11-02 16:48:39.343
12,19,4385,2020-11-02 16:44:56.169
13,19,6704,2020-11-02 16:47:36.119
14,19,8316,2020-11-02 16:36:10.084
15,19,27638,2020-11-02 16:41:36.202
16,19,8813,2020-11-02 16:39:36.928
17,19,19896,2020-11-02 16:30:36.378
18,19,27937,2020-11-02 16:30:48.207
19,19,23687,2020-11-02 16:35:46.685
20,19,12804,2020-11-02 16:31:05.749
21,19,1755,2020-11-02 16:40:12.193
22,19,18936,2020-11-02 16:47:17.523
23,24,2927,2020-02-26 17:23:04.84
24,24,11662,2020-02-26 17:26:29.178
25,24,2927,2020-02-26 17:22:48.903
26,24,28075,2020-02-26 18:22:34.101
27,24,434,2020-02-26 17:27:11.894
28,24,16064,2020-02-26 17:26:05.585
29,24,10414,2020-02-26 18:21:51.891
30,24,18539,2020-02-26 18:18:48.152
31,24,18476,2020-02-26 18:24:32.77
32,28,11529,2020-05-18 12:51:10.994
33,28,11529,2020-05-18 12:51:32.916
34,28,16895,2020-05-18 12:50:24.248
35,28,21902,2020-05-18 12:51:51.761
36,31,25972,2021-04-20 19:38:03.816
37,31,16289,2021-04-20 19:39:17.092
38,31,2069,2021-04-20 19:40:21.952
39,31,27579,2021-04-20 19:43:43.813
40,31,26457,2021-04-20 19:41:29.179
41,31,2069,2021-04-20 19:39:29.968
42,31,4230,2021-04-20 19:45:23.203
43,31,264,2021-04-20 19:42:13.19
44,36,26536,2020-06-21 10:29:51.337
45,36,25417,2020-06-21 10:29:08.263
46,42,10395,2021-03-01 15:15:53.207
47,42,20523,2021-03-01 15:14:01.173
48,42,17472,2021-03-01 15:16:01.521
49,42,22492,2021-03-01 15:15:33.477
50,44,22747,2020-11-27 20:45:10.302
51,44,17089,2020-11-27 20:45:43.513
52,48,8398,2020-04-15 17:17:42.594
53,48,26404,2020-04-15 17:28:39.697
54,49,21358,2020-05-01 12:33:50.844
55,52,24636,2020-03-21 11:47:21.812
56,52,12047,2020-03-21 11:47:59.93
57,75,5409,2020-05-24 17:27:06.195
58,77,13214,2020-09-20 20:10:42.039
59,77,13214,2020-09-20 20:11:53.966
60,77,3173,2020-09-20 20:06:13.217
61,77,7935,2020-09-20 21:35:39.197
62,77,24315,2020-09-20 15:41:27.419
63,107,19062,2020-01-15 06:05:10.332
64,107,20147,2020-01-15 06:05:18.497
65,107,27477,2020-01-15 06:04:58.297
66,108,5434,2020-06-06 17:13:32.996
67,108,26130,2020-06-06 17:14:10.825
68,108,2536,2020-06-06 17:01:11.394
69,108,22860,2020-06-06 17:14:04.066
70,108,25964,2020-06-06 17:10:58.254
71,108,4816,2020-06-06 16:59:27.995
72,108,24454,2020-06-06 17:10:39.741
73,108,2925,2020-06-06 17:13:57.569
74,108,11843,2020-06-06 17:23:02.703
75,108,11386,2020-06-06 17:00:15.067
76,108,7159,2020-06-06 17:13:22.042
77,108,11256,2020-06-06 17:15:12.112
78,108,25896,2020-06-06 17:01:44.957
79,108,382,2020-06-06 17:13:47.635
80,108,12735,2020-06-06 17:09:14.875
81,108,13222,2020-06-06 17:23:46.361
82,108,5747,2020-06-06 17:08:38.518
83,108,2995,2020-06-06 17:02:07.611
84,108,13885,2020-06-06 17:12:00.687
85,108,12735,2020-06-06 17:05:34.324
86,108,11386,2020-06-06 17:12:49.417
87,108,4867,2020-06-06 17:05:09.531
88,108,27499,2020-06-06 17:12:37.786
89,108,12735,2020-06-06 16:59:51.413
90,108,25086,2020-06-06 17:15:01.597
91,108,15237,2020-06-06 17:02:52.823
92,108,15421,2020-06-06 17:24:00.12
93,113,2171,2021-05-05 13:19:15.147
94,113,17218,2021-05-05 14:13:21.645
95,113,15738,2021-05-05 13:19:54.211
96,113,19760,2021-05-05 13:18:49.495
97,113,21215,2021-05-05 14:03:43.401
98,113,6187,2021-05-05 13:18:20.994
99,115,16631,2021-05-27 10:14:06.491
100,115,19705,2021-05-27 10:14:01.136
101,115,15969,2021-05-27 10:13:55.93
102,115,19705,2021-05-27 10:13:40.996
103,115,16631,2021-05-27 10:14:17.135
104,115,19705,2021-05-27 10:14:11.072
105,115,10442,2021-05-27 10:13:51.664
106,115,10442,2021-05-27 10:14:03.289
107,119,26148,2020-10-11 06:31:49.741
108,119,25907,2020-10-11 06:30:50.893
109,119,24315,2020-10-11 06:31:05.527
110,124,26092,2020-05-18 11:03:42.492
111,127,689,2020-01-15 09:57:12.288
112,127,18902,2020-01-15 08:49:25.646
113,127,14790,2020-01-15 09:56:29.667
114,127,26016,2020-01-15 08:51:02.273
115,127,19062,2020-01-15 08:33:19.025
116,127,23823,2020-01-15 09:56:11.693
117,140,18723,2021-04-28 13:42:35.259
118,140,13914,2021-04-28 13:45:28.112
119,140,11378,2021-04-28 13:45:07.026
120,151,6110,2020-03-04 13:04:10.03
121,151,27770,2020-03-04 13:04:23.182
122,153,973,2021-01-16 19:40:28.121
123,153,8806,2021-01-16 19:40:18.794
124,153,16218,2021-01-16 19:39:55.613
125,154,21152,2020-04-24 07:23:41.545
126,156,3462,2020-11-27 12:48:25.34
127,170,3320,2020-03-08 12:49:58.542
128,171,13547,2020-12-18 01:00:42.334
129,171,22079,2020-12-18 01:03:24.634
130,171,22079,2020-12-18 01:05:02.11
131,181,16417,2020-04-03 19:06:17.84
132,181,10244,2020-04-03 19:26:43.783
133,181,4822,2020-04-03 19:03:51.175
134,181,2036,2020-04-03 19:07:09.376
135,181,4822,2020-04-03 19:09:35.048
136,182,23789,2020-01-29 20:45:11.859
137,184,14383,2021-04-04 01:42:14.691
138,186,19960,2021-03-27 18:31:13.359
139,186,4798,2021-03-27 18:31:53.932
140,188,2284,2020-10-12 20:19:14.215
141,195,4086,2021-01-05 12:00:55.97
142,195,16626,2021-01-05 00:19:08.996
143,195,13717,2021-01-05 11:59:39.216
144,195,23638,2021-01-05 11:57:59.436
145,195,16075,2021-01-05 11:41:54.951
146,195,24641,2021-01-05 11:59:03.379
147,195,21018,2021-01-05 11:58:46.161
148,195,22694,2021-01-05 00:19:20.846
149,195,26835,2021-01-05 11:43:45.166
150,195,24641,2021-01-05 12:03:32.745
151,207,17932,2020-07-04 09:14:35.316
152,207,17932,2020-07-04 18:19:09.014
153,207,25086,2020-07-04 18:18:55.578
154,207,25086,2020-07-04 09:14:35.444
155,208,26257,2020-12-13 09:56:08.337
156,226,26075,2020-12-12 11:51:52.973
157,226,20275,2020-12-12 11:49:31.381
158,226,21816,2020-12-12 11:52:49.646
159,226,26075,2020-12-12 11:50:52.823
160,226,27811,2020-12-12 11:50:32.713
161,226,2354,2020-12-12 11:51:35.442
162,226,2354,2020-12-12 11:51:11.723
163,227,15611,2020-08-16 12:37:29.931
164,227,21773,2020-08-16 12:37:37.203
165,227,18518,2020-08-16 12:36:19.458
166,232,19464,2020-09-11 12:17:25.263
167,235,15200,2020-08-14 21:07:19.177
168,235,12434,2020-08-14 21:09:40.774
169,237,26424,2020-09-09 20:44:24.438
170,247,4914,2021-02-13 12:54:53.525
171,247,21874,2021-02-13 12:56:46.199
172,247,12859,2021-02-13 12:55:36.408
173,247,6706,2021-02-13 12:41:18.136
174,248,8622,2020-12-14 12:41:51.577
175,248,25935,2020-12-14 13:07:56.773
176,248,8622,2020-12-14 12:45:57.332
177,248,24048,2020-12-14 12:57:34.866
178,248,2021,2020-12-14 13:10:27.072
179,248,25834,2020-12-14 13:07:09.811
180,248,18313,2020-12-14 12:47:40.07
181,248,26458,2020-12-14 13:06:22.966
182,248,18313,2020-12-14 13:09:31.044
183,248,8622,2020-12-14 12:45:14.624
184,248,25270,2020-12-14 12:45:10.492
185,248,8622,2020-12-14 12:43:57.628
186,248,2915,2020-12-14 12:58:50.948
187,248,20495,2020-12-14 12:59:54.054
188,248,24048,2020-12-14 12:46:59.138
189,261,26673,2021-05-31 13:37:00.04
190,261,17428,2021-05-31 13:28:55.134
191,261,19143,2021-05-31 13:35:18.282
192,261,17428,2021-05-31 13:28:33.668
193,261,25002,2021-05-31 13:37:25.957
194,261,3946,2021-05-31 13:28:46.665
195,266,13615,2021-02-27 17:35:55.258
196,289,8622,2020-04-25 19:04:14.109
197,289,9185,2020-04-25 19:03:44.533
198,289,8060,2020-04-25 19:02:45.461
199,289,18276,2020-04-25 19:04:10.647
200,289,8060,2020-04-25 19:50:36.406
201,302,18156,2020-12-07 16:37:21.579
202,302,16218,2020-12-07 16:37:13.553
203,306,8717,2021-03-15 11:04:17.345
204,306,3422,2021-03-15 11:05:06.911
205,306,20770,2021-03-15 11:03:51.361
206,315,3697,2020-11-13 10:54:31.184
207,315,19464,2020-11-13 10:51:19.121
208,318,21330,2021-04-26 09:23:57.592
209,324,19356,2020-05-25 15:37:12.095
210,324,12437,2020-05-25 15:36:44.012
211,325,4130,2021-05-05 09:59:39.259
212,325,19882,2021-05-05 09:59:19.756
213,325,9219,2021-05-05 10:01:35.31
214,325,11638,2021-05-05 10:01:10.539
215,325,4130,2021-05-05 10:00:12.831
216,332,23345,2021-05-25 15:39:08.032
217,332,5264,2021-05-25 15:38:47.633
218,334,5370,2020-01-15 21:26:08.942
219,337,27851,2021-03-05 07:44:08.886
220,337,5466,2021-03-05 07:44:44.526
221,337,10122,2021-03-05 07:46:49.125
222,337,12282,2021-03-05 07:42:43.012
223,339,11154,2021-02-06 20:32:45.263
224,339,11154,2021-02-06 20:34:38.108
225,339,5703,2021-02-06 20:35:30.626
226,339,18526,2021-02-06 20:37:42.179
227,339,26489,2021-02-06 20:36:11.413
228,340,23742,2021-01-09 20:09:48.587
229,340,1442,2021-01-09 20:11:59.171
230,340,23742,2021-01-09 20:12:55.842
231,340,1442,2021-01-09 20:10:46.713
232,340,23742,2021-01-09 20:11:37.996
233,340,1442,2021-01-09 20:09:16.466
234,340,15087,2021-01-09 20:08:54.546
235,340,1442,2021-01-09 20:13:22.424
236,349,11723,2020-10-24 22:39:12.11
237,351,27555,2021-03-05 18:50:12.934
238,351,9200,2021-03-05 19:28:52.425
239,352,8530,2020-06-08 19:57:56.747
240,352,13653,2020-06-08 20:01:06.40
241,359,24100,2020-12-02 19:40:52.158
242,376,23276,2020-01-25 11:39:45.804
243,376,23276,2020-01-25 11:38:19.012
244,376,20048,2020-01-25 11:36:54.066
245,376,18726,2020-01-25 11:39:18.311
246,376,3897,2020-01-25 11:38:52.074
247,378,14564,2020-02-26 10:47:07.309
248,378,2669,2020-02-26 10:49:16.848
249,380,27225,2021-01-01 20:31:43.455
250,380,25270,2021-01-01 20:11:01.208
251,380,25809,2021-01-01 12:22:04.126
252,380,14934,2021-01-01 20:28:31.496
253,380,26853,2021-01-01 12:26:38.028
254,380,14208,2021-01-01 12:33:20.187
255,380,19112,2021-01-01 20:20:56.381
256,380,26853,2021-01-01 12:12:59.525
257,380,23427,2021-01-01 20:39:35.706
258,380,24730,2021-01-01 20:34:46.14
259,384,2991,2020-12-18 08:53:18.423
260,384,12140,2020-12-18 08:49:45.574
261,384,13412,2020-12-18 08:48:30.75
262,384,1271,2020-12-18 08:47:55.597
263,384,9582,2020-12-18 08:47:40.737
264,384,784,2020-12-18 08:52:48.982
265,384,7474,2020-12-18 08:49:19.908
266,384,5692,2020-12-18 08:50:17.081
267,384,14953,2020-12-18 08:51:02.026
268,384,27183,2020-12-18 08:54:29.608
269,388,1610,2021-05-21 18:11:59.182
270,390,1750,2021-03-04 17:46:01.186
271,412,10927,2020-11-30 08:52:50.796
272,412,25772,2020-11-30 09:08:10.119
273,412,10698,2020-11-30 08:54:33.19
274,415,7221,2020-01-20 21:24:05.803
275,415,4040,2020-01-20 08:05:25.384
276,415,5170,2020-01-20 21:24:34.095
277,415,7221,2020-01-20 18:59:57.967
278,415,977,2020-01-20 08:10:40.767
279,415,27599,2020-01-20 08:03:22.061
280,415,6803,2020-01-20 08:07:21.256
281,415,1691,2020-01-20 08:08:45.583
282,415,14354,2020-01-20 08:00:55.881
283,415,5170,2020-01-20 21:57:28.439
284,415,10609,2020-01-20 08:02:48.173
285,418,11196,2020-12-29 22:43:06.015
286,418,26711,2020-12-29 22:43:36.808
287,418,14230,2020-12-29 22:41:20.40
288,418,16020,2020-12-29 22:48:47.45
289,418,14258,2020-12-29 22:55:40.23
290,418,7879,2020-12-29 22:55:45.619
291,418,17868,2020-12-29 23:00:00.017
292,418,6331,2020-12-29 22:59:17.379
293,418,3442,2020-12-29 22:57:51.425
294,419,25291,2020-07-09 07:10:54.511
295,419,21825,2020-07-09 07:11:30.345
296,422,8062,2021-04-08 17:54:15.603
297,422,1146,2021-04-08 17:18:00.767
298,422,8062,2021-04-08 17:55:19.386
299,422,22035,2021-04-08 17:49:55.559
300,428,10935,2020-11-02 00:04:39.557
301,428,14376,2020-11-02 00:09:28.888
302,428,21514,2020-11-02 00:03:53.431
303,428,26282,2020-11-02 00:00:42.962
304,428,1720,2020-11-02 00:04:13.47
305,428,7176,2020-11-02 00:00:17.405
306,428,23542,2020-11-02 00:03:04.38
307,428,7014,2020-11-02 00:00:01.63
308,428,11061,2020-11-02 00:03:45.402
309,428,23313,2020-11-02 00:02:14.483
310,429,7963,2021-03-26 18:19:29.196
311,429,27442,2021-03-26 18:19:58.023
312,429,25885,2021-03-26 18:20:12.495
313,429,54,2021-03-26 18:20:05.282
314,431,5243,2020-06-22 13:21:30.322
315,443,17196,2020-09-01 16:48:50.106
316,443,10757,2020-09-01 16:25:56.70
317,443,26724,2020-09-01 16:29:05.202
318,443,24362,2020-09-01 17:19:49.248
319,443,2507,2020-09-01 17:08:25.323
320,443,13269,2020-09-01 17:18:13.314
321,443,1797,2020-09-01 17:20:13.22
322,443,8005,2020-09-01 16:31:33.941
323,443,17196,2020-09-01 16:35:52.695
324,443,14394,2020-09-01 17:08:13.824
